Province,University,Program,International tuition,Domestic tuition,Minimum average,Length Of Program,Program Language,TOEFL Score,Rank,Notes,Longitude,Latitude,URL
Saskatchewan,Luther College,Police Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Resource and Environmental Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Fine Arts,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Music,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Music Education,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Science,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Chemical Technology,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Environmental Biology,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Environmental Health and Science,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Indigenous Environmental Science,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Medical Imaging,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Medical Laboratory Science,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,St. Thomas More College,Economics,15870,6104,70,3 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,St. Thomas More College,English,15870,6104,70,3-4 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,St. Thomas More College,History ,15870,6104,70,3-4 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,St. Thomas More College,"Classical, Medieval and Renaissance Studies",15870,6104,70,4 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,St. Thomas More College,Modern Languages,15870,6104,70,3-4 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,St. Thomas More College,French ,15870,6104,70,3-4 years,"English, French",Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,St. Thomas More College,Philosophy,15870,6104,70,3-4 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,St. Thomas More College,Political Studies,15870,6104,70,3-4 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,St. Thomas More College,Psychology,15870,6104,70,3-4 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,St. Thomas More College,Anthropology,15870,6104,70,3-4 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
